Unterkünfte in St. Gallen vom 27.06.2024 bis 30.06.2024;;
;;
Name Unterkunft;Preis pro Nacht;Währung
ACHTE auf die LÜCKE am Bodensee;183; CHF
Engelburg Zuhause mit Aussicht;51; CHF
Gemütliche möblierte Attika nähe HSG Uni & OLMA;146; CHF
Charmante Wohnung auf dem Lande und doch zentral;116; CHF
Central, Cozy Home near HSG/FH/Olma-Area/Hospital;102; CHF
Gemütliche Loft in umgebauter Remise;152; CHF
Leimathof Wohnung Typ I;218; CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;98; CHF
Grosszügige, schöne und ruhige Wohnung;105; CHF
Gartenstudio in Appenzellerhaus;78; CHF
Die charmante Ferienwohnung;88; CHF
Ruhiges Wohlfühlzimmer mit eigenem Bad;81;CHF
Nah an der Natur und Ö–V vor der Tür;75; CHF
1er Zimmer ruhig 5 Min. bis Ö–V;63; CHF
Komfortables Einzelzimmer;37; CHF
Privatzimmer - Tolle Aussicht auf den See;61; CHF
Ferienwohnung klein aber fein;88; CHF
Gemütliche Unterkunft am ruhigen Stadtrand;110; CHF
Ganze Wohnung mitten in der Altstadt von Arbon;94; CHF
Idyllisches Plätzchen in Thurgauer Weiler;98; CHF
Zentrale Ferienwohnung am Bodensee;134; CHF
Attika 2,5 Zimmer möbliert Nähe HSG Universität;147; CHF
Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2;62; CHF
Ort fär Auszeit im Grünen;115; CHF
Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33;134; CHF
wunderschönes studio im dorfkern von trogen;86; CHF
Zimmer mit traumhaftem Ausblick;78;CHF
Klein aber Fein in Rorschach (Nichtraucherwohnung);94;CHF
Zwei helle Zimmer, Küche und Bad;88; CHF
;;
Unterkünfte in St. Gallen vom 10.10.2024 bis 20.10.2024;;
;;
ACHTE auf die LÜCKE am Bodensee;150;CHF
Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli;54;CHF
Nachhaltig Wohnen ohne Kompromisse!;83;CHF
Grosszügige Wohnung in der Stadt;147;CHF
2.5 Zimmer mit Balkon Nähe Spital, Uni;95;CHF
Zur Geduld;85;CHF
2.5 Zimmer, modern, ruhig und zentrumsnah;124;CHF
Studio mit Charme und Aussicht;58;CHF
ruhiges Tiny House in der Nähe des Waldes;107;CHF
2.New Apartment 2 Min vom Bahnhof;139;CHF
Nähe Theater, Olma, Uni, Stadtzentrum;130;CHF
Sky-Town Apartment;110;CHF
TouchBed | Budget Studio;101;CHF
Kernsanierte Wohnung nähe Bahnhof und Zentrum;130;CHF
Attika 2,5 Zimmer möbliert Nähe HSG Universität;106;CHF
Poliba St.Gallen-3 1/2 zimmer wohnung;48;CHF
Ganze Wohnung mitten in der Altstadt von Arbon;61;CHF
Studio mit Panoramaaussicht;58;CHF
Neu möblierte schöne Wohnung im Zentrum *AppleTV*;105;CHF
Studio Trailalps: Nähe St. Gallen;66;CHF
Atelier/Loft im Grünen Individuelles Altes Haus;126;CHF
2 Zimmer mit Balkon, Netflix und Mietfahrräder;98;CHF
1.New Apartment 2 Min vom Bahnhof;139;CHF
Gartenstudio in Appenzellerhaus;64;CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;82;CHF
winzige Wohnung;93;CHF
Charmante Jugendstilwohnung;88;CHF
Charmante Wohnung im Zentrum von Goldach;70;CHF
ruhige, neue Dachwohnung an Altstadt, nahe Messe;114;CHF
