ID,House Name,Price per Night
1,Aufenthalt bei Melanie,102 CHF 
2,Aufenthalt bei Heinz,98 CHF 
3,Aufenthalt bei Sabrina,51 CHF 
4,Aufenthalt bei Luca,60 CHF 
5,Gemütliche möblierte Attika nähe HSG Uni & OLMA,146 CHF 
6,Aufenthalt bei Afrim,37 CHF 
7,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",134 CHF 
8,Aufenthalt bei Katharina,52 CHF 
9,Aufenthalt bei Franziska,78 CHF 
10,Leimathof Wohnung Typ I,218 CHF 
11,Aufenthalt bei Pia,75 CHF 
12,Studio Pfauen Appenzell,65 CHF 
13,Aufenthalt bei Elisabeth,110 CHF 
14,ACHTE auf die LÜCKE am Bodensee,183 CHF 
15,Gartenstudio in Appenzellerhaus,78 CHF 
16,Dein Zuhause in Herisau,169 CHF 
17,Charmante Wohnung auf dem Lande und doch zentral,116 CHF 
18,Die charmante Ferienwohnung,88 CHF 
19,Aufenthalt bei Katrin,58 CHF 
20,Studio über Bäckerei,71 CHF 
21,Parterre-Studio im Dorfkern,118 CHF 
22,Aufenthalt bei Luca,62 CHF 
23,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",147 CHF 
24,Luxuriöses Hotelzimmer im Grünen,103 CHF 
25,"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte",123 CHF 
26,Wunderschönes Studio inmitten der Natur,119 CHF 
27,Einzigartige Lage direkt am See mit endlosem Blick,197 CHF 
28,"Bungalow mit Traumaussicht
LOMA BUENA VISTA",142 CHF
29,Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,231 CHF 
30,Aufenthalt bei Katharina,54 CHF 

ID,House Name,Price per Night
1,Cosy central  1-room studio at Gertrud Schlössli,54 CHF 
2,Sustainable living without compromises!,81 CHF 
3,Poliba St.Gallen-3 1/2 room apartment,47 CHF 
4,Newly furnished beautiful apartment in the center *AppleTV*,105 CHF 
5,For patience,84 CHF 
6,"2.5 rooms with balcony near Spital, Uni",95 CHF 
7,TouchBed | Budget Studio,101 CHF 
8,"2.5 rooms, modern, quiet and close to the center",124 CHF 
9,"Beautiful, bright, large apartment with balcony *SmartTV",118 CHF 
10,"Close to theater, Olma, university, city center",128 CHF 
11,Spacious apartment in the city,147 CHF 
12,Sky-Town Apartment,110 CHF 
13,2. New apartment 2 min from station,139 CHF 
14,Studio with charm and views,58 CHF 
15,Cozy & Large*Newly renovated apartment*SmartTV,123 CHF 
16,Core renovated apartment near train station and center,130 CHF 
17,tiny flat,93 CHF 
18,Stay with Heinz,82 CHF 
19,simple flat,87 CHF 
20,Eco-friendly rooftop apart. St. Gallen center,241 CHF 
21,"quiet, new attic apartment on the old town, near Messe",114 CHF 
22,"2 rooms with balcony, Netflix and rental bikes",98 CHF 
23,Unique location with views all over the city,145 CHF 
24,1.New apartment  2 min from station,139 CHF 
25,Stay with Erola,41 CHF 
26,TouchBed | Large 3-BR-Apartment Ground Floor,277 CHF 
27,TouchBed | Budget Apartment,146 CHF 
28,Stay with Dijana,42 CHF 
29,Stay with Erola,41 CHF 
30,GöttiFritz - 360Grad Views with Breakfast,187 CHF 
